token,last_active,unrealized,realized_profit,total_profit,balance,usd,position_pct,holding_duration,bought_avg,sold_avg,txs
"Pumpflix
24m

1m","Pumpflix
24m

1m","-$2.31

-1.6%","-$2.31

-1.6%","+$13.83

+0.5%","$140.41
1.5M","$140.41
1.5M",4.39%,4m,"$3K

$0.0₄8315","$2.87K

$0.0₄833","18
/
12"
"runner
29m

26m","runner
29m

26m","-$0.427

-0.2%","-$0.427

-0.2%","-$0.427

-0.2%","$260.09
3.8M","$260.09
3.8M",100%,26m,"$260.52

$0.0₄6818","$0

$0","1
/
0"
"ANON
55m

30m","ANON
55m

30m",Sell All,Sell All,"+$2.99

+0.1%","$0
0","$0
0",0%,16m,"$2.96K

$0.0₄9184","$2.63K

$0.0₄9111","17
/
12"
"UTK
1h

30m","UTK
1h

30m",Sell All,Sell All,"+$12.31

+0.6%","$0
0","$0
0",0%,37m,"$2.09K

$0.0₄9161","$2.1K

$0.0₄9214","12
/
11"
"GS
1h

1h","GS
1h

1h",Sell All,Sell All,"+$32.99

+1.7%","$0
0","$0
0",0%,15m,"$1.91K

$0.0₄9593","$1.71K

$0.0₄9801","9
/
6"
"Earth
2h

1h","Earth
2h

1h",Sell All,Sell All,"+$74.65

+4.3%","$0
0","$0
0",0%,4m,"$1.74K

$0.0₄8008","$1.59K

$0.0₄824","7
/
7"
"runner
3h

2h","runner
3h

2h",Sell All,Sell All,"+$14.59

+0.4%","$0
0","$0
0",0%,50m,"$3.37K

$0.0₄8484","$3.15K

$0.0₄8463","15
/
19"
"D
DOW
2h

2h","D
DOW
2h

2h",Sell All,Sell All,"+$10.02

+0.3%","$0
0","$0
0",0%,10m,"$3.08K

$0.0₄8854","$2.75K

$0.0₄8787","17
/
13"
"LMC
2h

2h","LMC
2h

2h","$0

0%","$0

0%","$0

0%","$0
0","$0
0",0%,2m,"$153.26

$0.0₄6995","$0

$0","2
/
0"
"Marshmalow
3h

3h","Marshmalow
3h

3h",Sell All,Sell All,"+$22.97

+4.5%","$0
0","$0
0",0%,1m,"$509.57

$0.0₄6526","$345.92

$0.0₄6816","2
/
1"
"EGG
3h

3h","EGG
3h

3h",Sell All,Sell All,"+$49.67

+1.6%","$0
0","$0
0",0%,8m,"$3.19K

$0.0₄8527","$3.23K

$0.0₄866","20
/
15"
"TWB
5h

3h","TWB
5h

3h","$0

0%","$0

0%","$0

0%","$0
0","$0
0",0%,1h,"$35.22

$0.0₄6115","$0

$0","1
/
0"
"Xing
4h

3h","Xing
4h

3h",Sell All,Sell All,"+$31.89

+1.3%","$0
0","$0
0",0%,57m,"$2.52K

$0.0₄931","$2.21K

$0.0₄9389","13
/
11"
"D
DOW
4h

3h","D
DOW
4h

3h",Sell All,Sell All,"+$64.28

+2.1%","$0
0","$0
0",0%,21m,"$3.12K

$0.0₄8809","$3.19K

$0.0₄899","17
/
14"
"RAPE
5h

3h","RAPE
5h

3h",Sell All,Sell All,"+$13.31

+0.6%","$0
0","$0
0",0%,1h,"$2.41K

$0.0₄9232","$2.07K

$0.0₄925","12
/
11"
"TWB
3h

3h","TWB
3h

3h",Sell All,Sell All,"+$36.38

+10.8%","$0
0","$0
0",0%,3m,"$337.77

$0.0₄8708","$373.98

$0.0₄9646","2
/
1"
"yee
5h

3h","yee
5h

3h",Sell All,Sell All,"+$25.56

+0.9%","$0
0","$0
0",0%,1h,"$2.96K

$0.0₄8975","$2.98K

$0.0₄9052","14
/
16"
"BEAVO
6h

5h","BEAVO
6h

5h",Sell All,Sell All,"+$25.66

+0.7%","$0
0","$0
0",0%,21m,"$3.47K

$0.0₄9032","$3.17K

$0.0₄9019","15
/
16"
"PUMPFUND
7h

6h","PUMPFUND
7h

6h",Sell All,Sell All,"+$15.05

+0.5%","$0
0","$0
0",0%,45m,"$2.97K

$0.0₄9263","$2.66K

$0.0₄9205","17
/
17"
"foobi
6h

6h","foobi
6h

6h",Sell All,Sell All,"+$65.3

+2.7%","$0
0","$0
0",0%,7m,"$2.41K

$0.0₄9285","$2.48K

$0.0₄9536","12
/
11"
"Fawcette
7h

6h","Fawcette
7h

6h",Sell All,Sell All,"+$23.09

+1%","$0
0","$0
0",0%,1h,"$2.3K

$0.0₄8659","$2.01K

$0.0₄8674","12
/
15"
"Hoppy
6h

6h","Hoppy
6h

6h",Sell All,Sell All,"+$52.76

+7%","$0
0","$0
0",0%,6m,"$751.35

$0.0₄7607","$505.22

$0.0₄7869","5
/
3"
"D
DOW
8h

7h","D
DOW
8h

7h",Sell All,Sell All,"+$77.36

+1.9%","$0
0","$0
0",0%,4m,"$4.07K

$0.0₄8506","$3.75K

$0.0₄8559","22
/
18"
"6 7
8h

8h","6 7
8h

8h",Sell All,Sell All,"+$15.85

+0.4%","$0
0","$0
0",0%,15m,"$3.63K

$0.0₄9045","$3.29K

$0.0₄9049","18
/
17"
"Mongoru
8h

8h","Mongoru
8h

8h",Sell All,Sell All,"+$28.27

+1.2%","$0
0","$0
0",0%,9m,"$2.44K

$0.0₄8732","$2.47K

$0.0₄8833","14
/
12"
"Rita
9h

8h","Rita
9h

8h",Sell All,Sell All,"+$51.57

+1.9%","$0
0","$0
0",0%,28m,"$2.7K

$0.0₄8482","$2.75K

$0.0₄8643","16
/
16"
"foobi
9h

9h","foobi
9h

9h",Sell All,Sell All,"+$5.25

+5%","$0
0","$0
0",0%,1m,"$106.06

$0.0₄573","$111.26

$0.0₄6014","1
/
1"
